POSITION,1,E:\double-sphere data\h1d1-55.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
        14,          0.014000000,                  326,                 -433,Tue Apr 23 2019 00:05:19.014000.00,
        15,          0.015000001,                  327,                 -433,Tue Apr 23 2019 00:05:19.015000.00,
        16,          0.016000001,                  327,                 -433,Tue Apr 23 2019 00:05:19.016000.00,
        17,          0.017000000,                  327,                 -433,Tue Apr 23 2019 00:05:19.017000.00,
        18,          0.018000000,                  327,                 -433,Tue Apr 23 2019 00:05:19.018000.00,
        19,          0.019000000,                  327,                 -433,Tue Apr 23 2019 00:05:19.019000.00,
        20,          0.020000000,                  327,                 -433,Tue Apr 23 2019 00:05:19.020000.00,
        21,          0.021000001,                  326,                 -433,Tue Apr 23 2019 00:05:19.021000.00,
        22,          0.022000001,                  326,                 -433,Tue Apr 23 2019 00:05:19.022000.00,
        23,          0.023000000,                  326,                 -433,Tue Apr 23 2019 00:05:19.023000.00,
        24,          0.024000000,                  326,                 -433,Tue Apr 23 2019 00:05:19.024000.00,
        25,          0.025000000,                  327,                 -433,Tue Apr 23 2019 00:05:19.025000.00,
        26,          0.026000001,                  327,                 -433,Tue Apr 23 2019 00:05:19.026000.00,
        27,          0.027000001,                  327,                 -434,Tue Apr 23 2019 00:05:19.027000.00,
        28,          0.028000000,                  328,                 -439,Tue Apr 23 2019 00:05:19.028000.00,
        29,          0.029000000,                  330,                 -445,Tue Apr 23 2019 00:05:19.029000.00,
        30,          0.030000000,                  331,                 -450,Tue Apr 23 2019 00:05:19.030000.00,
        31,          0.031000000,                  332,                 -455,Tue Apr 23 2019 00:05:19.031000.00,
        32,          0.032000001,                  333,                 -461,Tue Apr 23 2019 00:05:19.032000.00,
        33,          0.033000001,                  334,                 -466,Tue Apr 23 2019 00:05:19.033000.00,
        34,          0.034000000,                  335,                 -471,Tue Apr 23 2019 00:05:19.034000.00,
        35,          0.035000000,                  337,                 -477,Tue Apr 23 2019 00:05:19.035000.00,
        36,          0.036000000,                  338,                 -482,Tue Apr 23 2019 00:05:19.036000.00,
        37,          0.037000000,                  339,                 -487,Tue Apr 23 2019 00:05:19.037000.00,
        38,          0.038000001,                  340,                 -492,Tue Apr 23 2019 00:05:19.038000.00,
        39,          0.039000001,                  341,                 -498,Tue Apr 23 2019 00:05:19.039000.00,
        40,          0.040000000,                  342,                 -503,Tue Apr 23 2019 00:05:19.040000.00,
        41,          0.041000000,                  343,                 -508,Tue Apr 23 2019 00:05:19.041000.00,
        42,          0.042000000,                  345,                 -513,Tue Apr 23 2019 00:05:19.042000.00,
        43,          0.043000001,                  346,                 -518,Tue Apr 23 2019 00:05:19.043000.00,
        44,          0.044000001,                  347,                 -524,Tue Apr 23 2019 00:05:19.044000.00,
        45,          0.045000000,                  348,                 -529,Tue Apr 23 2019 00:05:19.045000.00,
        46,          0.046000000,                  349,                 -534,Tue Apr 23 2019 00:05:19.046000.00,
        47,          0.047000000,                  350,                 -539,Tue Apr 23 2019 00:05:19.047000.00,
        48,          0.048000000,                  351,                 -544,Tue Apr 23 2019 00:05:19.048000.00,
        49,          0.049000001,                  352,                 -549,Tue Apr 23 2019 00:05:19.049000.00,
        50,          0.050000001,                  353,                 -554,Tue Apr 23 2019 00:05:19.050000.00,
        51,          0.051000000,                  355,                 -559,Tue Apr 23 2019 00:05:19.051000.00,
        52,          0.052000000,                  356,                 -564,Tue Apr 23 2019 00:05:19.052000.00,
        53,          0.053000000,                  357,                 -569,Tue Apr 23 2019 00:05:19.053000.00,
        54,          0.054000000,                  358,                 -574,Tue Apr 23 2019 00:05:19.054000.00,
        55,          0.055000001,                  359,                 -578,Tue Apr 23 2019 00:05:19.055000.00,
        56,          0.056000001,                  360,                 -583,Tue Apr 23 2019 00:05:19.056000.00,
        57,          0.057000000,                  361,                 -588,Tue Apr 23 2019 00:05:19.057000.00,
        58,          0.058000000,                  362,                 -593,Tue Apr 23 2019 00:05:19.058000.00,
        59,          0.059000000,                  362,                 -598,Tue Apr 23 2019 00:05:19.059000.00,
        60,          0.060000001,                  363,                 -602,Tue Apr 23 2019 00:05:19.060000.00,
        61,          0.061000001,                  364,                 -607,Tue Apr 23 2019 00:05:19.061000.00,
        62,          0.062000000,                  366,                 -612,Tue Apr 23 2019 00:05:19.062000.00,
        63,          0.063000000,                  367,                 -617,Tue Apr 23 2019 00:05:19.063000.00,
        64,          0.064000000,                  369,                 -622,Tue Apr 23 2019 00:05:19.064000.00,
        65,          0.065000000,                  370,                 -626,Tue Apr 23 2019 00:05:19.065000.00,
        66,          0.066000001,                  372,                 -631,Tue Apr 23 2019 00:05:19.066000.00,
        67,          0.067000001,                  373,                 -636,Tue Apr 23 2019 00:05:19.067000.00,
