POSITION,1,E:\double-sphere data\h1d1-49.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
        10,          0.010000001,                  308,                 -326,Tue Apr 23 2019 00:05:18.010000.00,
        11,          0.011000000,                  308,                 -326,Tue Apr 23 2019 00:05:18.011000.00,
        12,          0.012000000,                  308,                 -326,Tue Apr 23 2019 00:05:18.012000.00,
        13,          0.013000000,                  308,                 -326,Tue Apr 23 2019 00:05:18.013000.00,
        14,          0.014000000,                  308,                 -326,Tue Apr 23 2019 00:05:18.014000.00,
        15,          0.015000001,                  308,                 -326,Tue Apr 23 2019 00:05:18.015000.00,
        16,          0.016000001,                  308,                 -326,Tue Apr 23 2019 00:05:18.016000.00,
        17,          0.017000000,                  308,                 -326,Tue Apr 23 2019 00:05:18.017000.00,
        18,          0.018000000,                  308,                 -326,Tue Apr 23 2019 00:05:18.018000.00,
        19,          0.019000000,                  308,                 -326,Tue Apr 23 2019 00:05:18.019000.00,
        20,          0.020000000,                  308,                 -327,Tue Apr 23 2019 00:05:18.020000.00,
        21,          0.021000001,                  308,                 -331,Tue Apr 23 2019 00:05:18.021000.00,
        22,          0.022000001,                  306,                 -339,Tue Apr 23 2019 00:05:18.022000.00,
        23,          0.023000000,                  304,                 -347,Tue Apr 23 2019 00:05:18.023000.00,
        24,          0.024000000,                  302,                 -355,Tue Apr 23 2019 00:05:18.024000.00,
        25,          0.025000000,                  301,                 -364,Tue Apr 23 2019 00:05:18.025000.00,
        26,          0.026000001,                  300,                 -373,Tue Apr 23 2019 00:05:18.026000.00,
        27,          0.027000001,                  299,                 -381,Tue Apr 23 2019 00:05:18.027000.00,
        28,          0.028000000,                  298,                 -390,Tue Apr 23 2019 00:05:18.028000.00,
        29,          0.029000000,                  298,                 -399,Tue Apr 23 2019 00:05:18.029000.00,
        30,          0.030000000,                  296,                 -407,Tue Apr 23 2019 00:05:18.030000.00,
        31,          0.031000000,                  296,                 -416,Tue Apr 23 2019 00:05:18.031000.00,
        32,          0.032000001,                  296,                 -425,Tue Apr 23 2019 00:05:18.032000.00,
        33,          0.033000001,                  296,                 -433,Tue Apr 23 2019 00:05:18.033000.00,
        34,          0.034000000,                  296,                 -442,Tue Apr 23 2019 00:05:18.034000.00,
        35,          0.035000000,                  296,                 -451,Tue Apr 23 2019 00:05:18.035000.00,
        36,          0.036000000,                  297,                 -460,Tue Apr 23 2019 00:05:18.036000.00,
        37,          0.037000000,                  298,                 -468,Tue Apr 23 2019 00:05:18.037000.00,
        38,          0.038000001,                  299,                 -477,Tue Apr 23 2019 00:05:18.038000.00,
        39,          0.039000001,                  300,                 -485,Tue Apr 23 2019 00:05:18.039000.00,
        40,          0.040000000,                  301,                 -494,Tue Apr 23 2019 00:05:18.040000.00,
        41,          0.041000000,                  303,                 -502,Tue Apr 23 2019 00:05:18.041000.00,
        42,          0.042000000,                  305,                 -510,Tue Apr 23 2019 00:05:18.042000.00,
        43,          0.043000001,                  307,                 -518,Tue Apr 23 2019 00:05:18.043000.00,
        44,          0.044000001,                  309,                 -526,Tue Apr 23 2019 00:05:18.044000.00,
        45,          0.045000000,                  311,                 -534,Tue Apr 23 2019 00:05:18.045000.00,
        46,          0.046000000,                  313,                 -542,Tue Apr 23 2019 00:05:18.046000.00,
        47,          0.047000000,                  315,                 -549,Tue Apr 23 2019 00:05:18.047000.00,
        48,          0.048000000,                  318,                 -557,Tue Apr 23 2019 00:05:18.048000.00,
        49,          0.049000001,                  320,                 -564,Tue Apr 23 2019 00:05:18.049000.00,
        50,          0.050000001,                  322,                 -570,Tue Apr 23 2019 00:05:18.050000.00,
        51,          0.051000000,                  324,                 -576,Tue Apr 23 2019 00:05:18.051000.00,
        52,          0.052000000,                  327,                 -583,Tue Apr 23 2019 00:05:18.052000.00,
        53,          0.053000000,                  328,                 -588,Tue Apr 23 2019 00:05:18.053000.00,
        54,          0.054000000,                  330,                 -594,Tue Apr 23 2019 00:05:18.054000.00,
        55,          0.055000001,                  334,                 -601,Tue Apr 23 2019 00:05:18.055000.00,
        56,          0.056000001,                  336,                 -607,Tue Apr 23 2019 00:05:18.056000.00,
        57,          0.057000000,                  339,                 -612,Tue Apr 23 2019 00:05:18.057000.00,
        58,          0.058000000,                  342,                 -618,Tue Apr 23 2019 00:05:18.058000.00,
        59,          0.059000000,                  346,                 -624,Tue Apr 23 2019 00:05:18.059000.00,
        60,          0.060000001,                  350,                 -629,Tue Apr 23 2019 00:05:18.060000.00,
        61,          0.061000001,                  353,                 -634,Tue Apr 23 2019 00:05:18.061000.00,
        62,          0.062000000,                  356,                 -639,Tue Apr 23 2019 00:05:18.062000.00,
