POSITION,1,E:\double-sphere data\h1d1-6.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
        10,          0.010000001,                  303,                 -124,Sun Apr 21 2019 06:42:55.010000.00,
        11,          0.011000000,                  302,                 -134,Sun Apr 21 2019 06:42:55.011000.00,
        12,          0.012000000,                  301,                 -144,Sun Apr 21 2019 06:42:55.012000.00,
        13,          0.013000000,                  300,                 -154,Sun Apr 21 2019 06:42:55.013000.00,
        14,          0.014000000,                  299,                 -164,Sun Apr 21 2019 06:42:55.014000.00,
        15,          0.015000001,                  298,                 -175,Sun Apr 21 2019 06:42:55.015000.00,
        16,          0.016000001,                  297,                 -185,Sun Apr 21 2019 06:42:55.016000.00,
        17,          0.017000000,                  296,                 -195,Sun Apr 21 2019 06:42:55.017000.00,
        18,          0.018000000,                  295,                 -205,Sun Apr 21 2019 06:42:55.018000.00,
        19,          0.019000000,                  294,                 -215,Sun Apr 21 2019 06:42:55.019000.00,
        20,          0.020000000,                  293,                 -225,Sun Apr 21 2019 06:42:55.020000.00,
        21,          0.021000001,                  292,                 -224,Sun Apr 21 2019 06:42:55.021000.00,
        22,          0.022000001,                  289,                 -222,Sun Apr 21 2019 06:42:55.022000.00,
        23,          0.023000000,                  287,                 -220,Sun Apr 21 2019 06:42:55.023000.00,
        24,          0.024000000,                  285,                 -218,Sun Apr 21 2019 06:42:55.024000.00,
        25,          0.025000000,                  283,                 -216,Sun Apr 21 2019 06:42:55.025000.00,
        26,          0.026000001,                  281,                 -214,Sun Apr 21 2019 06:42:55.026000.00,
        27,          0.027000001,                  279,                 -212,Sun Apr 21 2019 06:42:55.027000.00,
        28,          0.028000000,                  277,                 -210,Sun Apr 21 2019 06:42:55.028000.00,
        29,          0.029000000,                  275,                 -208,Sun Apr 21 2019 06:42:55.029000.00,
        30,          0.030000000,                  273,                 -206,Sun Apr 21 2019 06:42:55.030000.00,
        31,          0.031000000,                  271,                 -204,Sun Apr 21 2019 06:42:55.031000.00,
        32,          0.032000001,                  269,                 -202,Sun Apr 21 2019 06:42:55.032000.00,
        33,          0.033000001,                  267,                 -201,Sun Apr 21 2019 06:42:55.033000.00,
        34,          0.034000000,                  265,                 -199,Sun Apr 21 2019 06:42:55.034000.00,
        35,          0.035000000,                  263,                 -197,Sun Apr 21 2019 06:42:55.035000.00,
        36,          0.036000000,                  261,                 -195,Sun Apr 21 2019 06:42:55.036000.00,
        37,          0.037000000,                  259,                 -194,Sun Apr 21 2019 06:42:55.037000.00,
        38,          0.038000001,                  257,                 -192,Sun Apr 21 2019 06:42:55.038000.00,
        39,          0.039000001,                  255,                 -190,Sun Apr 21 2019 06:42:55.039000.00,
        40,          0.040000000,                  253,                 -189,Sun Apr 21 2019 06:42:55.040000.00,
        41,          0.041000000,                  252,                 -187,Sun Apr 21 2019 06:42:55.041000.00,
        42,          0.042000000,                  250,                 -185,Sun Apr 21 2019 06:42:55.042000.00,
        43,          0.043000001,                  248,                 -184,Sun Apr 21 2019 06:42:55.043000.00,
        44,          0.044000001,                  246,                 -182,Sun Apr 21 2019 06:42:55.044000.00,
        45,          0.045000000,                  244,                 -180,Sun Apr 21 2019 06:42:55.045000.00,
        46,          0.046000000,                  242,                 -179,Sun Apr 21 2019 06:42:55.046000.00,
        47,          0.047000000,                  240,                 -177,Sun Apr 21 2019 06:42:55.047000.00,
        48,          0.048000000,                  238,                 -175,Sun Apr 21 2019 06:42:55.048000.00,
        49,          0.049000001,                  236,                 -173,Sun Apr 21 2019 06:42:55.049000.00,
        50,          0.050000001,                  235,                 -172,Sun Apr 21 2019 06:42:55.050000.00,
        51,          0.051000000,                  233,                 -170,Sun Apr 21 2019 06:42:55.051000.00,
        52,          0.052000000,                  230,                 -169,Sun Apr 21 2019 06:42:55.052000.00,
        53,          0.053000000,                  228,                 -167,Sun Apr 21 2019 06:42:55.053000.00,
        54,          0.054000000,                  227,                 -166,Sun Apr 21 2019 06:42:55.054000.00,
        55,          0.055000001,                  225,                 -164,Sun Apr 21 2019 06:42:55.055000.00,
        56,          0.056000001,                  222,                 -163,Sun Apr 21 2019 06:42:55.056000.00,
        57,          0.057000000,                  221,                 -162,Sun Apr 21 2019 06:42:55.057000.00,
        58,          0.058000000,                  219,                 -160,Sun Apr 21 2019 06:42:55.058000.00,
        59,          0.059000000,                  216,                 -159,Sun Apr 21 2019 06:42:55.059000.00,
        60,          0.060000001,                  215,                 -157,Sun Apr 21 2019 06:42:55.060000.00,
        61,          0.061000001,                  213,                 -156,Sun Apr 21 2019 06:42:55.061000.00,
        62,          0.062000000,                  211,                 -154,Sun Apr 21 2019 06:42:55.062000.00,
        63,          0.063000000,                  209,                 -153,Sun Apr 21 2019 06:42:55.063000.00,
        64,          0.064000000,                  207,                 -151,Sun Apr 21 2019 06:42:55.064000.00,
        65,          0.065000000,                  205,                 -150,Sun Apr 21 2019 06:42:55.065000.00,
        66,          0.066000001,                  204,                 -149,Sun Apr 21 2019 06:42:55.066000.00,
        67,          0.067000001,                  202,                 -147,Sun Apr 21 2019 06:42:55.067000.00,
        68,          0.068000000,                  200,                 -146,Sun Apr 21 2019 06:42:55.068000.00,
        69,          0.069000000,                  198,                 -144,Sun Apr 21 2019 06:42:55.069000.00,
        70,          0.070000000,                  196,                 -143,Sun Apr 21 2019 06:42:55.070000.00,
        71,          0.071000000,                  194,                 -142,Sun Apr 21 2019 06:42:55.071000.00,
        72,          0.072000001,                  192,                 -141,Sun Apr 21 2019 06:42:55.072000.00,
        73,          0.073000001,                  190,                 -140,Sun Apr 21 2019 06:42:55.073000.00,
        74,          0.074000000,                  189,                 -138,Sun Apr 21 2019 06:42:55.074000.00,
        75,          0.075000000,                  187,                 -137,Sun Apr 21 2019 06:42:55.075000.00,
