POSITION,1,E:\double-sphere data\h3d1-17.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
        15,          0.015000001,                  302,                 -122,Tue Apr 23 2019 02:36:25.015000.00,
        16,          0.016000001,                  302,                 -131,Tue Apr 23 2019 02:36:25.016000.00,
        17,          0.017000000,                  302,                 -140,Tue Apr 23 2019 02:36:25.017000.00,
        18,          0.018000000,                  302,                 -150,Tue Apr 23 2019 02:36:25.018000.00,
        19,          0.019000000,                  302,                 -159,Tue Apr 23 2019 02:36:25.019000.00,
        20,          0.020000000,                  302,                 -168,Tue Apr 23 2019 02:36:25.020000.00,
        21,          0.021000001,                  302,                 -177,Tue Apr 23 2019 02:36:25.021000.00,
        22,          0.022000001,                  302,                 -186,Tue Apr 23 2019 02:36:25.022000.00,
        23,          0.023000000,                  302,                 -195,Tue Apr 23 2019 02:36:25.023000.00,
        24,          0.024000000,                  302,                 -204,Tue Apr 23 2019 02:36:25.024000.00,
        25,          0.025000000,                  302,                 -214,Tue Apr 23 2019 02:36:25.025000.00,
        26,          0.026000001,                  302,                 -219,Tue Apr 23 2019 02:36:25.026000.00,
        27,          0.027000001,                  302,                 -219,Tue Apr 23 2019 02:36:25.027000.00,
        28,          0.028000000,                  302,                 -218,Tue Apr 23 2019 02:36:25.028000.00,
        29,          0.029000000,                  302,                 -217,Tue Apr 23 2019 02:36:25.029000.00,
        30,          0.030000000,                  302,                 -216,Tue Apr 23 2019 02:36:25.030000.00,
        31,          0.031000000,                  302,                 -216,Tue Apr 23 2019 02:36:25.031000.00,
        32,          0.032000001,                  301,                 -215,Tue Apr 23 2019 02:36:25.032000.00,
        33,          0.033000001,                  301,                 -214,Tue Apr 23 2019 02:36:25.033000.00,
        34,          0.034000000,                  301,                 -213,Tue Apr 23 2019 02:36:25.034000.00,
        35,          0.035000000,                  301,                 -213,Tue Apr 23 2019 02:36:25.035000.00,
        36,          0.036000000,                  300,                 -212,Tue Apr 23 2019 02:36:25.036000.00,
        37,          0.037000000,                  300,                 -211,Tue Apr 23 2019 02:36:25.037000.00,
        38,          0.038000001,                  300,                 -210,Tue Apr 23 2019 02:36:25.038000.00,
        39,          0.039000001,                  300,                 -210,Tue Apr 23 2019 02:36:25.039000.00,
        40,          0.040000000,                  300,                 -209,Tue Apr 23 2019 02:36:25.040000.00,
        41,          0.041000000,                  300,                 -208,Tue Apr 23 2019 02:36:25.041000.00,
        42,          0.042000000,                  300,                 -208,Tue Apr 23 2019 02:36:25.042000.00,
        43,          0.043000001,                  299,                 -207,Tue Apr 23 2019 02:36:25.043000.00,
        44,          0.044000001,                  299,                 -207,Tue Apr 23 2019 02:36:25.044000.00,
        45,          0.045000000,                  299,                 -206,Tue Apr 23 2019 02:36:25.045000.00,
        46,          0.046000000,                  299,                 -206,Tue Apr 23 2019 02:36:25.046000.00,
        47,          0.047000000,                  299,                 -205,Tue Apr 23 2019 02:36:25.047000.00,
        48,          0.048000000,                  298,                 -205,Tue Apr 23 2019 02:36:25.048000.00,
        49,          0.049000001,                  298,                 -204,Tue Apr 23 2019 02:36:25.049000.00,
        50,          0.050000001,                  298,                 -204,Tue Apr 23 2019 02:36:25.050000.00,
        51,          0.051000000,                  298,                 -203,Tue Apr 23 2019 02:36:25.051000.00,
        52,          0.052000000,                  298,                 -203,Tue Apr 23 2019 02:36:25.052000.00,
        53,          0.053000000,                  298,                 -202,Tue Apr 23 2019 02:36:25.053000.00,
        54,          0.054000000,                  297,                 -202,Tue Apr 23 2019 02:36:25.054000.00,
        55,          0.055000001,                  297,                 -201,Tue Apr 23 2019 02:36:25.055000.00,
        56,          0.056000001,                  297,                 -201,Tue Apr 23 2019 02:36:25.056000.00,
        57,          0.057000000,                  297,                 -201,Tue Apr 23 2019 02:36:25.057000.00,
        58,          0.058000000,                  297,                 -200,Tue Apr 23 2019 02:36:25.058000.00,
        59,          0.059000000,                  296,                 -200,Tue Apr 23 2019 02:36:25.059000.00,
        60,          0.060000001,                  296,                 -200,Tue Apr 23 2019 02:36:25.060000.00,
        61,          0.061000001,                  296,                 -199,Tue Apr 23 2019 02:36:25.061000.00,
        62,          0.062000000,                  296,                 -199,Tue Apr 23 2019 02:36:25.062000.00,
