POSITION,1,E:\double-sphere data\h1d1-47.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
        13,          0.013000000,                  312,                 -117,Tue Apr 23 2019 00:05:18.013000.00,
        14,          0.014000000,                  312,                 -128,Tue Apr 23 2019 00:05:18.014000.00,
        15,          0.015000001,                  312,                 -138,Tue Apr 23 2019 00:05:18.015000.00,
        16,          0.016000001,                  312,                 -149,Tue Apr 23 2019 00:05:18.016000.00,
        17,          0.017000000,                  312,                 -159,Tue Apr 23 2019 00:05:18.017000.00,
        18,          0.018000000,                  312,                 -169,Tue Apr 23 2019 00:05:18.018000.00,
        19,          0.019000000,                  312,                 -180,Tue Apr 23 2019 00:05:18.019000.00,
        20,          0.020000000,                  312,                 -191,Tue Apr 23 2019 00:05:18.020000.00,
        21,          0.021000001,                  312,                 -201,Tue Apr 23 2019 00:05:18.021000.00,
        22,          0.022000001,                  312,                 -212,Tue Apr 23 2019 00:05:18.022000.00,
        23,          0.023000000,                  312,                 -223,Tue Apr 23 2019 00:05:18.023000.00,
        24,          0.024000000,                  312,                 -229,Tue Apr 23 2019 00:05:18.024000.00,
        25,          0.025000000,                  312,                 -227,Tue Apr 23 2019 00:05:18.025000.00,
        26,          0.026000001,                  312,                 -226,Tue Apr 23 2019 00:05:18.026000.00,
        27,          0.027000001,                  312,                 -225,Tue Apr 23 2019 00:05:18.027000.00,
        28,          0.028000000,                  312,                 -223,Tue Apr 23 2019 00:05:18.028000.00,
        29,          0.029000000,                  312,                 -222,Tue Apr 23 2019 00:05:18.029000.00,
        30,          0.030000000,                  312,                 -221,Tue Apr 23 2019 00:05:18.030000.00,
        31,          0.031000000,                  312,                 -220,Tue Apr 23 2019 00:05:18.031000.00,
        32,          0.032000001,                  312,                 -219,Tue Apr 23 2019 00:05:18.032000.00,
        33,          0.033000001,                  312,                 -218,Tue Apr 23 2019 00:05:18.033000.00,
        34,          0.034000000,                  312,                 -217,Tue Apr 23 2019 00:05:18.034000.00,
        35,          0.035000000,                  312,                 -216,Tue Apr 23 2019 00:05:18.035000.00,
        36,          0.036000000,                  312,                 -215,Tue Apr 23 2019 00:05:18.036000.00,
        37,          0.037000000,                  312,                 -214,Tue Apr 23 2019 00:05:18.037000.00,
        38,          0.038000001,                  312,                 -213,Tue Apr 23 2019 00:05:18.038000.00,
        39,          0.039000001,                  312,                 -211,Tue Apr 23 2019 00:05:18.039000.00,
        40,          0.040000000,                  312,                 -211,Tue Apr 23 2019 00:05:18.040000.00,
        41,          0.041000000,                  312,                 -209,Tue Apr 23 2019 00:05:18.041000.00,
        42,          0.042000000,                  312,                 -209,Tue Apr 23 2019 00:05:18.042000.00,
        43,          0.043000001,                  312,                 -207,Tue Apr 23 2019 00:05:18.043000.00,
        44,          0.044000001,                  312,                 -207,Tue Apr 23 2019 00:05:18.044000.00,
        45,          0.045000000,                  312,                 -205,Tue Apr 23 2019 00:05:18.045000.00,
        46,          0.046000000,                  312,                 -205,Tue Apr 23 2019 00:05:18.046000.00,
        47,          0.047000000,                  312,                 -204,Tue Apr 23 2019 00:05:18.047000.00,
        48,          0.048000000,                  312,                 -203,Tue Apr 23 2019 00:05:18.048000.00,
        49,          0.049000001,                  312,                 -202,Tue Apr 23 2019 00:05:18.049000.00,
        50,          0.050000001,                  312,                 -201,Tue Apr 23 2019 00:05:18.050000.00,
        51,          0.051000000,                  312,                 -200,Tue Apr 23 2019 00:05:18.051000.00,
        52,          0.052000000,                  312,                 -199,Tue Apr 23 2019 00:05:18.052000.00,
        53,          0.053000000,                  313,                 -198,Tue Apr 23 2019 00:05:18.053000.00,
        54,          0.054000000,                  313,                 -198,Tue Apr 23 2019 00:05:18.054000.00,
        55,          0.055000001,                  313,                 -197,Tue Apr 23 2019 00:05:18.055000.00,
        56,          0.056000001,                  313,                 -196,Tue Apr 23 2019 00:05:18.056000.00,
        57,          0.057000000,                  313,                 -195,Tue Apr 23 2019 00:05:18.057000.00,
        58,          0.058000000,                  313,                 -194,Tue Apr 23 2019 00:05:18.058000.00,
        59,          0.059000000,                  313,                 -193,Tue Apr 23 2019 00:05:18.059000.00,
