POSITION,1,E:\double-sphere data\h0s1-4.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
         2,          0.002000000,                  307,                 -325,Sun Apr 21 2019 03:49:49.002000.00,
         3,          0.003000000,                  307,                 -325,Sun Apr 21 2019 03:49:49.003000.00,
         4,          0.004000001,                  307,                 -325,Sun Apr 21 2019 03:49:49.004000.00,
         5,          0.005000000,                  307,                 -325,Sun Apr 21 2019 03:49:49.005000.00,
         6,          0.006000000,                  307,                 -325,Sun Apr 21 2019 03:49:49.006000.00,
         7,          0.007000000,                  307,                 -325,Sun Apr 21 2019 03:49:49.007000.00,
         8,          0.008000000,                  307,                 -325,Sun Apr 21 2019 03:49:49.008000.00,
         9,          0.009000001,                  307,                 -325,Sun Apr 21 2019 03:49:49.009000.00,
        10,          0.010000001,                  307,                 -330,Sun Apr 21 2019 03:49:49.010000.00,
        11,          0.011000000,                  307,                 -340,Sun Apr 21 2019 03:49:49.011000.00,
        12,          0.012000000,                  306,                 -350,Sun Apr 21 2019 03:49:49.012000.00,
        13,          0.013000000,                  306,                 -361,Sun Apr 21 2019 03:49:49.013000.00,
        14,          0.014000000,                  306,                 -372,Sun Apr 21 2019 03:49:49.014000.00,
        15,          0.015000001,                  306,                 -383,Sun Apr 21 2019 03:49:49.015000.00,
        16,          0.016000001,                  305,                 -394,Sun Apr 21 2019 03:49:49.016000.00,
        17,          0.017000000,                  305,                 -405,Sun Apr 21 2019 03:49:49.017000.00,
        18,          0.018000000,                  305,                 -416,Sun Apr 21 2019 03:49:49.018000.00,
        19,          0.019000000,                  305,                 -427,Sun Apr 21 2019 03:49:49.019000.00,
        20,          0.020000000,                  305,                 -438,Sun Apr 21 2019 03:49:49.020000.00,
        21,          0.021000001,                  305,                 -449,Sun Apr 21 2019 03:49:49.021000.00,
        22,          0.022000001,                  304,                 -460,Sun Apr 21 2019 03:49:49.022000.00,
        23,          0.023000000,                  304,                 -470,Sun Apr 21 2019 03:49:49.023000.00,
        24,          0.024000000,                  304,                 -481,Sun Apr 21 2019 03:49:49.024000.00,
        25,          0.025000000,                  304,                 -492,Sun Apr 21 2019 03:49:49.025000.00,
        26,          0.026000001,                  304,                 -503,Sun Apr 21 2019 03:49:49.026000.00,
        27,          0.027000001,                  304,                 -514,Sun Apr 21 2019 03:49:49.027000.00,
        28,          0.028000000,                  303,                 -525,Sun Apr 21 2019 03:49:49.028000.00,
        29,          0.029000000,                  303,                 -536,Sun Apr 21 2019 03:49:49.029000.00,
        30,          0.030000000,                  303,                 -546,Sun Apr 21 2019 03:49:49.030000.00,
        31,          0.031000000,                  303,                 -557,Sun Apr 21 2019 03:49:49.031000.00,
        32,          0.032000001,                  303,                 -568,Sun Apr 21 2019 03:49:49.032000.00,
        33,          0.033000001,                  303,                 -579,Sun Apr 21 2019 03:49:49.033000.00,
        34,          0.034000000,                  303,                 -590,Sun Apr 21 2019 03:49:49.034000.00,
        35,          0.035000000,                  303,                 -600,Sun Apr 21 2019 03:49:49.035000.00,
        36,          0.036000000,                  303,                 -611,Sun Apr 21 2019 03:49:49.036000.00,
        37,          0.037000000,                  303,                 -622,Sun Apr 21 2019 03:49:49.037000.00,
        38,          0.038000001,                  303,                 -633,Sun Apr 21 2019 03:49:49.038000.00,
        39,          0.039000001,                  302,                 -643,Sun Apr 21 2019 03:49:49.039000.00,
        40,          0.040000000,                  302,                 -654,Sun Apr 21 2019 03:49:49.040000.00,
        41,          0.041000000,                  302,                 -664,Sun Apr 21 2019 03:49:49.041000.00,
        42,          0.042000000,                  302,                 -675,Sun Apr 21 2019 03:49:49.042000.00,
        43,          0.043000001,                  301,                 -685,Sun Apr 21 2019 03:49:49.043000.00,
        44,          0.044000001,                  301,                 -695,Sun Apr 21 2019 03:49:49.044000.00,
        45,          0.045000000,                  301,                 -706,Sun Apr 21 2019 03:49:49.045000.00,
        46,          0.046000000,                  301,                 -716,Sun Apr 21 2019 03:49:49.046000.00,
        47,          0.047000000,                  301,                 -727,Sun Apr 21 2019 03:49:49.047000.00,
        48,          0.048000000,                  301,                 -737,Sun Apr 21 2019 03:49:49.048000.00,
        49,          0.049000001,                  301,                 -748,Sun Apr 21 2019 03:49:49.049000.00,
        50,          0.050000001,                  300,                 -758,Sun Apr 21 2019 03:49:49.050000.00,
