POSITION,1,E:\double-sphere data\h2d1-20.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
         5,          0.005000000,                  314,                 -320,Tue Apr 23 2019 01:16:47.005000.00,
         6,          0.006000000,                  314,                 -320,Tue Apr 23 2019 01:16:47.006000.00,
         7,          0.007000000,                  314,                 -320,Tue Apr 23 2019 01:16:47.007000.00,
         8,          0.008000000,                  314,                 -320,Tue Apr 23 2019 01:16:47.008000.00,
         9,          0.009000001,                  314,                 -320,Tue Apr 23 2019 01:16:47.009000.00,
        10,          0.010000001,                  314,                 -320,Tue Apr 23 2019 01:16:47.010000.00,
        11,          0.011000000,                  314,                 -320,Tue Apr 23 2019 01:16:47.011000.00,
        12,          0.012000000,                  314,                 -320,Tue Apr 23 2019 01:16:47.012000.00,
        13,          0.013000000,                  314,                 -320,Tue Apr 23 2019 01:16:47.013000.00,
        14,          0.014000000,                  314,                 -320,Tue Apr 23 2019 01:16:47.014000.00,
        15,          0.015000001,                  314,                 -320,Tue Apr 23 2019 01:16:47.015000.00,
        16,          0.016000001,                  315,                 -325,Tue Apr 23 2019 01:16:47.016000.00,
        17,          0.017000000,                  317,                 -332,Tue Apr 23 2019 01:16:47.017000.00,
        18,          0.018000000,                  318,                 -339,Tue Apr 23 2019 01:16:47.018000.00,
        19,          0.019000000,                  319,                 -346,Tue Apr 23 2019 01:16:47.019000.00,
        20,          0.020000000,                  320,                 -353,Tue Apr 23 2019 01:16:47.020000.00,
        21,          0.021000001,                  321,                 -361,Tue Apr 23 2019 01:16:47.021000.00,
        22,          0.022000001,                  321,                 -368,Tue Apr 23 2019 01:16:47.022000.00,
        23,          0.023000000,                  322,                 -376,Tue Apr 23 2019 01:16:47.023000.00,
        24,          0.024000000,                  323,                 -384,Tue Apr 23 2019 01:16:47.024000.00,
        25,          0.025000000,                  323,                 -392,Tue Apr 23 2019 01:16:47.025000.00,
        26,          0.026000001,                  324,                 -400,Tue Apr 23 2019 01:16:47.026000.00,
        27,          0.027000001,                  324,                 -408,Tue Apr 23 2019 01:16:47.027000.00,
        28,          0.028000000,                  324,                 -416,Tue Apr 23 2019 01:16:47.028000.00,
        29,          0.029000000,                  324,                 -423,Tue Apr 23 2019 01:16:47.029000.00,
        30,          0.030000000,                  323,                 -431,Tue Apr 23 2019 01:16:47.030000.00,
        31,          0.031000000,                  323,                 -439,Tue Apr 23 2019 01:16:47.031000.00,
        32,          0.032000001,                  322,                 -446,Tue Apr 23 2019 01:16:47.032000.00,
        33,          0.033000001,                  321,                 -454,Tue Apr 23 2019 01:16:47.033000.00,
        34,          0.034000000,                  320,                 -461,Tue Apr 23 2019 01:16:47.034000.00,
        35,          0.035000000,                  318,                 -468,Tue Apr 23 2019 01:16:47.035000.00,
        36,          0.036000000,                  317,                 -476,Tue Apr 23 2019 01:16:47.036000.00,
        37,          0.037000000,                  314,                 -482,Tue Apr 23 2019 01:16:47.037000.00,
        38,          0.038000001,                  313,                 -489,Tue Apr 23 2019 01:16:47.038000.00,
        39,          0.039000001,                  311,                 -496,Tue Apr 23 2019 01:16:47.039000.00,
        40,          0.040000000,                  310,                 -503,Tue Apr 23 2019 01:16:47.040000.00,
        41,          0.041000000,                  308,                 -509,Tue Apr 23 2019 01:16:47.041000.00,
        42,          0.042000000,                  305,                 -515,Tue Apr 23 2019 01:16:47.042000.00,
        43,          0.043000001,                  303,                 -522,Tue Apr 23 2019 01:16:47.043000.00,
        44,          0.044000001,                  301,                 -528,Tue Apr 23 2019 01:16:47.044000.00,
        45,          0.045000000,                  298,                 -534,Tue Apr 23 2019 01:16:47.045000.00,
        46,          0.046000000,                  296,                 -539,Tue Apr 23 2019 01:16:47.046000.00,
        47,          0.047000000,                  293,                 -544,Tue Apr 23 2019 01:16:47.047000.00,
        48,          0.048000000,                  291,                 -549,Tue Apr 23 2019 01:16:47.048000.00,
        49,          0.049000001,                  288,                 -554,Tue Apr 23 2019 01:16:47.049000.00,
        50,          0.050000001,                  285,                 -559,Tue Apr 23 2019 01:16:47.050000.00,
        51,          0.051000000,                  282,                 -564,Tue Apr 23 2019 01:16:47.051000.00,
        52,          0.052000000,                  280,                 -568,Tue Apr 23 2019 01:16:47.052000.00,
        53,          0.053000000,                  277,                 -572,Tue Apr 23 2019 01:16:47.053000.00,
        54,          0.054000000,                  274,                 -576,Tue Apr 23 2019 01:16:47.054000.00,
        55,          0.055000001,                  272,                 -581,Tue Apr 23 2019 01:16:47.055000.00,
        56,          0.056000001,                  269,                 -585,Tue Apr 23 2019 01:16:47.056000.00,
        57,          0.057000000,                  266,                 -588,Tue Apr 23 2019 01:16:47.057000.00,
        58,          0.058000000,                  264,                 -592,Tue Apr 23 2019 01:16:47.058000.00,
        59,          0.059000000,                  262,                 -596,Tue Apr 23 2019 01:16:47.059000.00,
        60,          0.060000001,                  259,                 -599,Tue Apr 23 2019 01:16:47.060000.00,
        61,          0.061000001,                  257,                 -602,Tue Apr 23 2019 01:16:47.061000.00,
