POSITION,1,E:\double-sphere data\h0s1-2.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
         9,          0.009000001,                  307,                 -136,Sun Apr 21 2019 03:49:36.009000.00,
        10,          0.010000001,                  308,                 -148,Sun Apr 21 2019 03:49:36.010000.00,
        11,          0.011000000,                  308,                 -160,Sun Apr 21 2019 03:49:36.011000.00,
        12,          0.012000000,                  309,                 -171,Sun Apr 21 2019 03:49:36.012000.00,
        13,          0.013000000,                  309,                 -183,Sun Apr 21 2019 03:49:36.013000.00,
        14,          0.014000000,                  310,                 -195,Sun Apr 21 2019 03:49:36.014000.00,
        15,          0.015000001,                  311,                 -206,Sun Apr 21 2019 03:49:36.015000.00,
        16,          0.016000001,                  312,                 -218,Sun Apr 21 2019 03:49:36.016000.00,
        17,          0.017000000,                  312,                 -227,Sun Apr 21 2019 03:49:36.017000.00,
        18,          0.018000000,                  314,                 -228,Sun Apr 21 2019 03:49:36.018000.00,
        19,          0.019000000,                  315,                 -228,Sun Apr 21 2019 03:49:36.019000.00,
        20,          0.020000000,                  317,                 -228,Sun Apr 21 2019 03:49:36.020000.00,
        21,          0.021000001,                  318,                 -229,Sun Apr 21 2019 03:49:36.021000.00,
        22,          0.022000001,                  320,                 -229,Sun Apr 21 2019 03:49:36.022000.00,
        23,          0.023000000,                  321,                 -230,Sun Apr 21 2019 03:49:36.023000.00,
        24,          0.024000000,                  322,                 -230,Sun Apr 21 2019 03:49:36.024000.00,
        25,          0.025000000,                  324,                 -231,Sun Apr 21 2019 03:49:36.025000.00,
        26,          0.026000001,                  325,                 -232,Sun Apr 21 2019 03:49:36.026000.00,
        27,          0.027000001,                  326,                 -232,Sun Apr 21 2019 03:49:36.027000.00,
        28,          0.028000000,                  327,                 -233,Sun Apr 21 2019 03:49:36.028000.00,
        29,          0.029000000,                  329,                 -234,Sun Apr 21 2019 03:49:36.029000.00,
        30,          0.030000000,                  330,                 -234,Sun Apr 21 2019 03:49:36.030000.00,
        31,          0.031000000,                  331,                 -235,Sun Apr 21 2019 03:49:36.031000.00,
        32,          0.032000001,                  333,                 -236,Sun Apr 21 2019 03:49:36.032000.00,
        33,          0.033000001,                  334,                 -236,Sun Apr 21 2019 03:49:36.033000.00,
        34,          0.034000000,                  336,                 -237,Sun Apr 21 2019 03:49:36.034000.00,
        35,          0.035000000,                  337,                 -238,Sun Apr 21 2019 03:49:36.035000.00,
        36,          0.036000000,                  338,                 -239,Sun Apr 21 2019 03:49:36.036000.00,
        37,          0.037000000,                  340,                 -240,Sun Apr 21 2019 03:49:36.037000.00,
        38,          0.038000001,                  341,                 -240,Sun Apr 21 2019 03:49:36.038000.00,
        39,          0.039000001,                  342,                 -241,Sun Apr 21 2019 03:49:36.039000.00,
        40,          0.040000000,                  344,                 -242,Sun Apr 21 2019 03:49:36.040000.00,
        41,          0.041000000,                  345,                 -243,Sun Apr 21 2019 03:49:36.041000.00,
        42,          0.042000000,                  346,                 -244,Sun Apr 21 2019 03:49:36.042000.00,
        43,          0.043000001,                  347,                 -245,Sun Apr 21 2019 03:49:36.043000.00,
        44,          0.044000001,                  349,                 -246,Sun Apr 21 2019 03:49:36.044000.00,
        45,          0.045000000,                  350,                 -247,Sun Apr 21 2019 03:49:36.045000.00,
        46,          0.046000000,                  351,                 -248,Sun Apr 21 2019 03:49:36.046000.00,
        47,          0.047000000,                  353,                 -249,Sun Apr 21 2019 03:49:36.047000.00,
        48,          0.048000000,                  354,                 -250,Sun Apr 21 2019 03:49:36.048000.00,
        49,          0.049000001,                  356,                 -251,Sun Apr 21 2019 03:49:36.049000.00,
        50,          0.050000001,                  357,                 -252,Sun Apr 21 2019 03:49:36.050000.00,
        51,          0.051000000,                  358,                 -253,Sun Apr 21 2019 03:49:36.051000.00,
        52,          0.052000000,                  359,                 -254,Sun Apr 21 2019 03:49:36.052000.00,
        53,          0.053000000,                  361,                 -255,Sun Apr 21 2019 03:49:36.053000.00,
        54,          0.054000000,                  362,                 -256,Sun Apr 21 2019 03:49:36.054000.00,
        55,          0.055000001,                  363,                 -258,Sun Apr 21 2019 03:49:36.055000.00,
        56,          0.056000001,                  365,                 -259,Sun Apr 21 2019 03:49:36.056000.00,
